title,artist,album,cover,file
Heaven,Bryan Adams,Reckless (30th Anniversary / Deluxe Edition),reckless_30th_anniversary__deluxe_edition.webp,heaven.mp3
I Do It For You,Bryan Adams,Waking Up The Neighbours,waking_up_the_neighbours.webp,i_do_it_for_you.mp3
Please Forgive Me,Bryan Adams,Anthology,anthology.webp,please_forgive_me.mp3
