title,artist,album,cover,file
Pra Vaquejada Eu Vou,Tarcísio do Acordeon,Pra Vaquejada Eu Vou,pra_vaquejada_eu_vou.webp,pra_vaquejada_eu_vou.mp3
Toque Carinhoso,"Vitor Fernandes, Tarcísio do Acordeon",Toque Carinhoso,toque_carinhoso.webp,toque_carinhoso.mp3
Deixa Eu Te Superar,Tarcísio do Acordeon,Deixa Eu Te Superar,deixa_eu_te_superar.webp,deixa_eu_te_superar.mp3
Nêga,"Tarcísio do Acordeon, Vitor Fernandes",A Nova Cara das Vaquejadas,a_nova_cara_das_vaquejadas.webp,nega.mp3
Aprendi a Maltratar,Tarcísio do Acordeon,A Nova Cara das Vaquejadas,a_nova_cara_das_vaquejadas.webp,aprendi_a_maltratar.mp3
Pra Não te Perder,Tarcísio do Acordeon,A Nova Cara das Vaquejadas,a_nova_cara_das_vaquejadas.webp,pra_nao_te_perder.mp3
Não Sou Perfeito,Tarcísio do Acordeon,A Nova Cara das Vaquejadas,a_nova_cara_das_vaquejadas.webp,nao_sou_perfeito.mp3
Lembrei de Você,Tarcísio do Acordeon,A Nova Cara das Vaquejadas,a_nova_cara_das_vaquejadas.webp,lembrei_de_voce.mp3
Minha História,Tarcísio do Acordeon,A Nova Cara das Vaquejadas,a_nova_cara_das_vaquejadas.webp,minha_historia.mp3
Jogo do Desprezo,Tarcísio do Acordeon,A Nova Cara das Vaquejadas,a_nova_cara_das_vaquejadas.webp,jogo_do_desprezo.mp3
Obsessão,Tarcísio do Acordeon,A Nova Cara das Vaquejadas,a_nova_cara_das_vaquejadas.webp,obsessao.mp3
Beijo Foda,Tarcísio do Acordeon,Só Resta Beber,so_resta_beber.webp,beijo_foda.mp3
Hoje Dói,Tarcísio do Acordeon,Diferente dos Iguais,diferente_dos_iguais.webp,hoje_doi.mp3
Eu Tenho a Senha,Tarcísio do Acordeon,Meu Sonho - Parte 1,meu_sonho__parte_1.webp,eu_tenho_a_senha.mp3
Vaqueiro Ferido,Tarcísio do Acordeon,Meu Sonho - Parte 1,meu_sonho__parte_1.webp,vaqueiro_ferido.mp3
Proteção de Tela,Tarcísio do Acordeon,Meu Sonho - Pt. 2,meu_sonho__pt_2.webp,protecao_de_tela.mp3
Coleção de Otário,Tarcísio do Acordeon,Meu Sonho - Pt. 2,meu_sonho__pt_2.webp,colecao_de_otario.mp3
Meu Sonho,Tarcísio do Acordeon,Meu Sonho - Pt. 2,meu_sonho__pt_2.webp,meu_sonho.mp3
Imaturidade,Tarcísio do Acordeon,Meu Sonho - Pt. 2,meu_sonho__pt_2.webp,imaturidade.mp3
Eu Gosto É De Problema,Tarcísio do Acordeon,Meu Sonho - Pt. 3,meu_sonho__pt_3.webp,eu_gosto_e_de_problema.mp3
Me Esqueça Se Puder,Tarcísio do Acordeon,Meu Sonho - Pt. 3,meu_sonho__pt_3.webp,me_esqueca_se_puder.mp3
Eu Tô Aí,Tarcísio do Acordeon,Meu Sonho - Pt. 3,meu_sonho__pt_3.webp,eu_to_ai.mp3
Literalmente,Tarcísio do Acordeon,Tome Forró,tome_forro.webp,literalmente.mp3
Medley Pagode,Tarcísio do Acordeon,Tome Forró,tome_forro.webp,medley_pagode.mp3
Quatro Semanas de Amor,Tarcísio do Acordeon,Só Resta Beber,so_resta_beber.webp,quatro_semanas_de_amor.mp3
